,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,0,100,0,0,200,0,0,0,100,200,0,0,300,0,0,100,0,200,0,0,0,0,0,100,0,100,100,100,100,0,0,0,0,0,200,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0
1,0,100,0,0,200,0,0,0,100,100,0,0,200,0,0,100,0,200,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,200,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,200,0,0,0
2,0,100,0,0,200,0,0,0,100,100,0,0,200,0,100,100,0,200,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,200,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,200,0,0,0,0,100,0,0,0,200,0,0,0,0,0,100,0,0,100,0,0,200,0,0,0
3,0,100,0,0,100,0,0,0,100,0,0,0,100,0,100,100,0,200,0,0,0,0,0,0,0,100,200,0,100,0,0,0,0,0,200,100,0,0,0,0,0,0,0,200,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,100,0,0,100,0,0,100
4,0,100,0,0,100,100,0,0,200,100,0,0,100,0,100,0,0,200,0,0,0,0,0,0,0,100,200,0,100,0,0,0,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,200,0,0,0,0,0,0,0,0,200,100,0,0,0,0,100,0,0,100,0,0,200,0,0,100
5,0,100,0,0,100,100,0,0,200,100,0,0,100,0,100,0,0,200,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,200,0,0,0,0,0,0,0,0,200,100,100,0,0,0,100,100,0,100,0,0,200,0,0,100
6,0,0,0,0,100,100,0,0,200,100,0,0,0,0,100,0,0,200,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,200,0,0,0,0,200,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,200,100,100,0,0,0,100,100,0,200,0,0,100,0,0,100
7,0,0,0,0,0,100,0,0,200,100,0,0,0,0,100,0,0,200,0,0,0,0,0,0,0,200,200,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0,100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,200,100,100,0,100,0,100,100,0,200,0,0,100,0,0,100
8,0,0,0,0,0,200,0,0,200,200,0,100,0,0,100,0,0,200,0,100,0,0,0,0,0,200,100,100,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,200,100,100,0,100,0,100,100,0,200,0,0,100,0,0,100
9,0,0,0,0,0,200,0,0,200,200,0,100,0,0,100,0,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,100,0,100,0,0,100,0,0,100,100,100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,200,100,100,0,100,0,100,100,0,300,0,0,100,0,0,100
10,0,0,0,0,0,200,0,0,100,200,0,100,0,0,200,0,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,100,0,0,100,100,0,100,0,0,0,0,100,0,100,0,0,200,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,200,100,100,0,100,0,100,100,0,300,0,0,100,0,0,100
11,0,0,0,0,0,200,0,0,100,200,0,100,0,0,200,0,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,100,0,0,100,100,0,100,0,0,0,0,100,0,100,0,0,200,0,0,100,100,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,100,100,0,100,0,0,100,0,400,0,0,100,0,0,100
12,0,0,0,0,0,200,0,0,100,200,0,100,0,0,100,0,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,100,0,0,100,100,0,100,0,0,0,0,100,0,100,0,0,200,0,0,200,100,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,100,0,100,0,0,100,0,300,0,0,100,0,0,100
13,0,0,0,0,0,200,0,0,100,200,0,100,0,0,100,0,0,0,0,100,100,0,0,0,0,100,0,100,0,0,0,0,100,0,0,100,100,0,100,0,0,0,0,0,0,100,0,0,200,0,0,100,100,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,100,0,0,0,100,100,0,100,0,0,100,0,300,0,0,100,0,0,0
14,0,0,0,0,0,100,0,0,0,100,0,100,0,0,100,0,0,0,0,100,100,0,0,0,100,100,0,100,0,0,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,100,0,0,200,0,0,100,100,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,200,0,0,100,0,0,100,0,0,0,0,100,0,100,0,0,100,0,300,0,0,0,0,0,0
15,0,0,0,0,0,100,0,0,0,100,0,100,0,0,100,0,0,0,0,100,100,0,0,0,100,100,0,100,0,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,200,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,300,0,0,0,0,0,0
16,0,0,0,0,0,100,0,0,0,100,0,100,0,0,100,0,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,100,100,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,200,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,200,0,0,0,0,0,0
17,0,0,0,0,0,100,100,0,0,100,0,100,0,0,100,0,0,0,0,100,100,0,0,0,100,0,0,0,0,0,0,200,100,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
18,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,100,0,100,100,0,100,0,100,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
19,0,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,100,100,100,100,0,0,0,0,0,0,100,0,100,100,0,100,0,100,100,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
20,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,100,0,0,0,100,100,200,0,0,0,0,100,100,100,0,0,0,0,0,0,100,0,100,100,0,100,0,100,100,0,0,0,100,400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
21,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,100,0,0,0,100,100,200,0,0,100,0,100,100,100,100,0,0,0,0,0,100,0,0,100,0,100,0,100,100,0,0,0,100,400,0,0,0,0,100,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,100,0,0,0,100,100,200,0,0,100,0,100,100,0,100,0,0,0,0,0,100,0,0,100,0,100,0,100,100,0,0,0,100,400,0,100,0,0,100,100,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0
23,0,100,0,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,100,0,0,0,100,100,200,0,0,100,0,100,100,0,100,0,0,0,0,0,100,0,0,100,100,100,0,100,100,0,0,0,100,300,0,100,0,0,200,100,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0
24,0,100,0,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200,0,100,0,0,0,0,100,0,0,0,100,100,200,0,0,100,0,100,100,0,100,0,0,0,0,0,100,0,0,100,100,100,0,100,100,0,0,0,100,200,0,100,0,0,200,100,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0
25,0,100,0,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,100,0,0,100,0,0,100,0,100,0,0,0,0,0,100,0,0,0,100,100,0,100,100,0,0,0,100,200,0,100,0,0,200,100,0,0,0,0,0,0,300,0,0,100,0,0,0,100,0,0,0,0
26,0,100,0,0,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,0,0,200,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,100,0,0,0,100,100,100,0,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,0,100,100,0,100,100,0,0,0,100,200,0,100,0,0,200,100,0,0,0,0,0,0,300,0,0,100,0,0,0,100,0,0,0,0
27,0,100,0,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0,0,100,0,0,200,0,100,0,0,100,0,0,100,0,0,0,100,100,0,100,100,0,0,0,100,100,0,100,0,0,200,100,0,0,0,0,0,0,300,0,0,100,0,0,0,100,0,0,0,0
28,0,100,0,0,0,0,0,100,0,0,100,100,100,0,0,100,100,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0,0,100,0,0,200,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,100,0,0,0,100,100,0,100,0,0,200,100,0,100,0,0,0,0,300,0,0,100,0,0,0,100,0,0,0,0
29,0,100,0,0,0,0,0,100,0,0,100,0,100,0,0,100,100,0,0,0,0,200,100,0,0,0,0,0,0,0,0,0,0,200,0,0,0,100,0,0,0,0,100,100,0,0,0,100,0,0,200,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,100,0,0,200,100,0,100,0,0,0,0,200,0,0,100,0,0,0,100,0,0,0,0
30,0,100,0,0,0,0,0,100,0,0,100,0,100,0,0,100,100,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,200,0,100,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,100,0,0,200,100,0,100,0,0,0,0,200,0,0,100,0,0,0,100,0,0,0,0
31,0,100,0,0,0,0,0,200,0,0,100,0,100,0,0,100,0,0,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,100,0,100,0,0,100,100,0,100,0,100,0,0,100,100,0,0,0,0,0,100,0,0,0,0
32,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,0,200,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,100,0,0,100,0,100,0,0,100,0,100,0,0,100,100,0,0,0,0,0,100,0,0,0,0
33,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,200,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,100,0,0,0,0,100,0,0,100,100,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,100,0,0,100,100,0,0,0,0,0,100,0,0,0,0
34,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,200,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,200,0,0,0,0,100,0,0,0,0,100,0,0,100,100,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0
35,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,0,100,0,0,0,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,0,0,100,0,0,0,0,100,0,0,100,100,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,200,0,0,0,100,0,0,0,0,0,0,0,100,0,0
36,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,100,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,100,0,100,0,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,200,0,0,0,100,0,0,0,100,0,0,0,100,0,0
37,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,100,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,200,0,0,0,100,0,0,0,100,0,0,0,100,0,0
38,0,0,0,100,100,0,0,100,0,0,0,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,200,0,0,0,0,0,0,200,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,200,0,0,0,100,0,0,0,100,0,0,0,100,0,0
39,0,0,0,100,100,0,0,100,100,0,0,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,200,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,200,0,0,0,100,0,0,0,100,0,0,0,100,0,0
40,0,0,0,100,100,0,0,100,200,0,0,100,0,0,0,0,0,0,100,200,0,0,0,0,0,0,200,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,200,100,0,0,100,0,0,0,100,0,0,0,100,0,0
41,0,0,0,100,100,0,0,0,200,0,0,100,0,0,0,0,0,0,100,100,0,0,0,100,0,0,200,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,100,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,0,100,100,0,0
42,0,0,0,100,100,0,0,0,200,0,0,100,0,0,0,0,0,0,100,100,0,0,0,100,0,100,100,0,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,0,100,100,0,0
43,0,0,0,100,100,0,0,0,200,0,0,100,0,0,0,0,0,0,0,200,0,0,0,100,0,100,100,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,0,0,100,100,0,0
44,0,0,0,100,100,0,0,0,200,0,0,100,0,0,0,0,0,0,0,200,0,0,0,100,0,100,100,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,100,0,0,100,100,0,0
45,100,0,0,100,100,0,0,0,200,0,0,100,0,0,0,0,0,0,0,200,0,0,0,100,0,100,100,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0
46,100,0,0,0,200,0,0,0,200,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,0,100,100,100,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0
47,100,0,0,0,200,0,0,0,200,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,100,0,0,0
